"avg_type","id","player","team","pos","points","sd_pts","dropoff","floor","ceiling","points_vor","floor_vor","ceiling_vor","rank","floor_rank","ceiling_rank","pos_rank","tier"
"weighted","14244","Matt Gay","LV","K",115.851484428256,16.8255540087534,2.45343490557069,89.2790890892685,129.218660140198,-29.7016118893925,-36.7489100341372,-34.015880030708,169,174,177,30,4
"average","14600","Joey Slye","TEN","K",125.715434572721,14.3899523653909,0.317702083684992,108.392881847755,139.583514838109,-21.3738446797601,-19.8062326360659,-21.1363863098506,171,163,166,26,3
"average","16292","Chad Ryland","ARI","K",125.397732489036,8.18317508414794,0.0783165346196739,114.224005657123,131.460188984707,-21.691546763445,-13.9751088266981,-29.2597121632518,173,143,193,27,3
"robust","16444","Blake Grupe","NYJ","K",128.83814644806,17.1273870451643,1.10713230525239,108.210258579224,141.478002659324,-20.5618535519397,-19.9888559045972,-19.2418984886347,174,165,159,25,5
"average","17726","Drew Stevens","WAS","K",125.319415954416,14.7119706008335,8.14962547822549,106.063373219373,138.688034188034,-21.7698632980647,-22.1357412644481,-22.031866959925,175,174,169,28,4
"weighted","16419","Andre Szmyt","CLE","K",113.398049522686,15.4287154417132,4.07184056746168,89.6372492555085,126.626963321114,-32.1550467949632,-36.3907498678971,-36.6075768497923,175,173,183,31,4
"robust","16292","Chad Ryland","ARI","K",127.731014142808,4.82265806685064,1.23084320263692,114.224005657123,131.460188984707,-21.6689858571921,-13.9751088266981,-29.2597121632518,178,143,193,26,5
"weighted","17434","Ben Sauls","NYG","K",109.326208955224,23.73616043087,10.0348541581152,94.2622161374027,126.889959377623,-36.2268873624249,-31.7657829860029,-36.3445807932832,179,167,182,32,5
"robust","17726","Drew Stevens","WAS","K",126.500170940171,9.57734256410257,2.89778998778999,106.063373219373,138.688034188034,-22.8998290598291,-22.1357412644481,-22.031866959925,183,174,169,27,6
"robust","17277","Ryan Fitzgerald","CAR","K",123.602380952381,10.5089512,0.849510875190333,89.1776,130.992514285714,-25.797619047619,-39.0215144838213,-29.7273868622449,191,210,195,28,6
"robust","14600","Joey Slye","TEN","K",122.752870077191,24.3459672235572,3.71308598628154,108.392881847755,139.583514838109,-26.6471299228094,-19.8062326360659,-21.1363863098506,196,163,166,29,6
"average","17277","Ryan Fitzgerald","CAR","K",117.16979047619,20.4369579698897,1.23730285863562,89.1776,130.992514285714,-29.9194887762902,-39.0215144838213,-29.7273868622449,197,210,195,29,4
"average","14244","Matt Gay","LV","K",115.932487617555,16.9951313260221,2.4375139159558,92.6474,128.676963375131,-31.1567916349258,-35.5517144838213,-32.0429377728285,200,203,201,30,4
"weighted","17736","Dominic Zvada","NYG","K",99.2913547971087,54.2458996779447,59.2913547971087,34.7041294247613,149.462817358449,-46.26174152054,-91.3238696986443,-13.7717228124567,201,354,130,33,6
"robust","14244","Matt Gay","LV","K",119.039784090909,7.69210603416929,4.52217010914616,92.6474,128.676963375131,-30.3602159090909,-35.5517144838213,-32.0429377728285,205,203,201,30,7
"average","16419","Andre Szmyt","CLE","K",113.494973701599,15.5761777096224,2.79097370159904,92.952,126.560552927184,-33.5943055508816,-35.2471144838212,-34.1593482207753,208,201,207,31,4
"robust","16419","Andre Szmyt","CLE","K",114.517613981763,16.0285919750231,3.81361398176291,92.952,126.560552927184,-34.8823860182371,-35.2471144838212,-34.1593482207753,210,201,207,31,7
